email_id,received_at,body
1,2025-12-16T08:42:44.135503,My order ORD-10001 is delayed. This is very frustrating.
2,2025-12-18T08:33:44.135503,Please cancel my subscription immediately. Account ID ACC-10002.
3,2025-12-19T06:30:44.135503,Just checking in for an update on my order ORD-10003. Thanks.
4,2025-12-16T01:12:44.135503,I have made the payment but not confirmed to order. Now what should i do
5,2025-12-11T05:48:44.135503,I need help understanding my last invoice. Invoice INV-10005.
6,2025-12-16T12:58:44.135503,Can you tell me the status of my order ORD-10006?
7,2025-12-19T15:12:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
8,2025-12-14T06:19:44.135503,I requested a refund 4 days ago. Order ID ORD-10008. Please update.
9,2025-12-16T14:22:44.135503,Please cancel my subscription immediately. Account ID ACC-10009.
10,2025-12-14T15:14:44.135503,I need help understanding my last invoice. Invoice INV-10010.
11,2025-12-15T18:01:44.135503,I requested a refund 1 days ago. Order ID ORD-10011. Please update.
12,2025-12-17T01:57:44.135503,I requested a refund 7 days ago. Order ID ORD-10012. Please update.
13,2025-12-12T22:31:44.135503,I have made the payment but not confirmed to order. Now what should i do
14,2025-12-13T02:30:44.135503,My delivery has not arrived yet. Order ORD-10014.
15,2025-12-10T20:23:44.135503,Can you tell me the status of my order ORD-10015?
16,2025-12-13T07:26:44.135503,Is my product shipping is done ?
17,2025-12-12T15:05:44.135503,Please cancel my subscription immediately. Account ID ACC-10017.
18,2025-12-12T18:04:44.135503,Why is this taking so long? Order number ORD-10018.
19,2025-12-16T12:03:44.135503,"I ordered a product but i recieved a old used product , refund my money"
20,2025-12-15T13:02:44.135503,I need help understanding my last invoice. Invoice INV-10020.
21,2025-12-17T00:08:44.135503,Why is this taking so long? Order number ORD-10021.
22,2025-12-19T21:53:44.135503,My delivery has not arrived yet. Order ORD-10022.
23,2025-12-15T05:30:44.135503,I need help understanding my last invoice. Invoice INV-10023.
24,2025-12-14T08:55:44.135503,I have made the payment but not confirmed to order. Now what should i do
25,2025-12-14T05:50:44.135503,I need help understanding my last invoice. Invoice INV-10025.
26,2025-12-19T07:08:44.135503,My delivery has not arrived yet. Order ORD-10026.
27,2025-12-12T00:05:44.135503,Just checking in for an update on my order ORD-10027. Thanks.
28,2025-12-19T14:54:44.135503,Why is this taking so long? Order number ORD-10028.
29,2025-12-12T21:12:44.135503,Just checking in for an update on my order ORD-10029. Thanks.
30,2025-12-13T05:59:44.135503,Just checking in for an update on my order ORD-10030. Thanks.
31,2025-12-16T00:12:44.135503,My order ORD-10031 is delayed. This is very frustrating.
32,2025-12-18T18:39:44.135503,Why is this taking so long? Order number ORD-10032.
33,2025-12-15T20:45:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
34,2025-12-12T12:30:44.135503,Can you tell me the status of my order ORD-10034?
35,2025-12-20T08:35:44.135503,My order ORD-10035 is delayed. This is very frustrating.
36,2025-12-19T03:28:44.135503,My delivery has not arrived yet. Order ORD-10036.
37,2025-12-17T10:59:44.135503,Please cancel my subscription immediately. Account ID ACC-10037.
38,2025-12-14T02:26:44.135503,I was charged incorrectly for order ORD-10038. Please fix this.
39,2025-12-15T17:45:44.135503,Can you tell me the status of my order ORD-10039?
40,2025-12-12T07:05:44.135503,I requested a refund 5 days ago. Order ID ORD-10040. Please update.
41,2025-12-18T04:19:44.135503,My delivery has not arrived yet. Order ORD-10041.
42,2025-12-13T00:03:44.135503,I have not received my refund for order ORD-10042.
43,2025-12-17T03:48:44.135503,Why is this taking so long? Order number ORD-10043.
44,2025-12-10T16:01:44.135503,I have made the payment but not confirmed to order. Now what should i do
45,2025-12-20T16:25:44.135503,I have not received my refund for order ORD-10045.
46,2025-12-19T02:43:44.135503,Can you tell me the status of my order ORD-10046?
47,2025-12-10T17:20:44.135503,I need help understanding my last invoice. Invoice INV-10047.
48,2025-12-12T22:56:44.135503,I requested a refund 0 days ago. Order ID ORD-10048. Please update.
49,2025-12-19T06:38:44.135503,I need help understanding my last invoice. Invoice INV-10049.
50,2025-12-13T23:34:44.135503,Just checking in for an update on my order ORD-10050. Thanks.
51,2025-12-19T02:45:44.135503,I need help understanding my last invoice. Invoice INV-10051.
52,2025-12-12T15:59:44.135503,I was charged incorrectly for order ORD-10052. Please fix this.
53,2025-12-19T10:26:44.135503,I was charged incorrectly for order ORD-10053. Please fix this.
54,2025-12-15T01:08:44.135503,Why is this taking so long? Order number ORD-10054.
55,2025-12-16T20:12:44.135503,My delivery has not arrived yet. Order ORD-10055.
56,2025-12-11T14:47:44.135503,My delivery has not arrived yet. Order ORD-10056.
57,2025-12-13T19:10:44.135503,Is my product shipping is done ?
58,2025-12-20T08:42:44.135503,I requested a refund 4 days ago. Order ID ORD-10058. Please update.
